Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.32239787,0.25962289,0.00000240,0.1158,0.1297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6412,0.0000,0.0000,0.0000,0.0000,0.0000,12.2749,224,0.15,1.0000,15.0,0,30,1,0.000000
2,0.23688883,0.22463579,0.00000790,0.3361,0.3551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6237,0.0000,0.0000,0.0000,0.0000,0.0000,34.5577,224,0.15,0.9800,15.0,0,30,1,0.000000
3,0.22288140,0.21678093,0.00002231,0.4041,0.3641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6223,0.0000,0.0000,0.0000,0.0000,0.0000,38.4060,224,0.15,0.9604,15.0,0,30,1,0.000000
4,0.21711427,0.21489508,0.00004011,0.3635,0.3793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6246,0.0000,0.0000,0.0000,0.0000,0.0000,37.1411,224,0.15,0.9412,15.0,0,30,1,0.000000
5,0.21073681,0.21058626,0.00005451,0.3662,0.4080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6139,0.0000,0.0000,0.0000,0.0000,0.0000,38.7107,224,0.15,0.9412,15.0,0,30,1,0.000000
6,0.20491730,0.21095626,0.00006000,0.3730,0.4040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6128,0.0000,0.0000,0.0000,0.0000,0.0000,38.8504,224,0.15,0.9224,15.0,0,30,1,0.000000
7,0.19736765,0.20670818,0.00006000,0.3894,0.4046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6126,0.0000,0.0000,0.0000,0.0000,0.0000,39.6989,224,0.15,0.9039,15.0,0,30,1,0.000000
8,0.19112834,0.21676137,0.00005999,0.3897,0.4180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6001,0.0000,0.0000,0.0000,0.0000,0.0000,40.3835,224,0.15,0.8858,15.0,0,30,1,0.000000
9,0.19711806,0.20390528,0.00005998,0.4227,0.4401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5962,0.0000,0.0000,0.0000,0.0000,0.0000,43.1442,224,0.25,0.8681,15.0,0,30,1,0.000000
10,0.19091374,0.20443064,0.00005996,0.3952,0.4320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6066,0.0000,0.0000,0.0000,0.0000,0.0000,41.3611,224,0.25,0.8508,15.0,0,30,1,0.000000
11,0.18382730,0.21131024,0.00005993,0.4114,0.4178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5964,0.0000,0.0000,0.0000,0.0000,0.0000,41.4622,224,0.25,0.8508,15.0,0,30,1,0.000000
12,0.19034264,0.19986519,0.00005989,0.4064,0.4471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6039,0.0000,0.0000,0.0000,0.0000,0.0000,42.6747,224,0.35,0.8337,15.0,0,30,1,0.000000
13,0.18337204,0.20155809,0.00005982,0.4271,0.4494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5963,0.0000,0.0000,0.0000,0.0000,0.0000,43.8247,224,0.35,0.8171,15.0,0,30,1,0.000000
14,0.17732607,0.20477946,0.00005973,0.4025,0.4241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6057,0.0000,0.0000,0.0000,0.0000,0.0000,41.3270,224,0.35,0.8007,15.0,0,30,1,0.000000
15,0.18201622,0.20039644,0.00005962,0.4036,0.4558,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6030,0.0000,0.0000,0.0000,0.0000,0.0000,42.9748,224,0.45,0.8007,15.0,0,30,1,0.000000
16,0.17630739,0.20852214,0.00005945,0.4316,0.4349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5930,0.0000,0.0000,0.0000,0.0000,0.0000,43.3230,224,0.45,0.7847,15.0,0,30,1,0.000000
17,0.17933016,0.20446138,0.00005925,0.4160,0.4449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5959,0.0000,0.0000,0.0000,0.0000,0.0000,43.0412,224,0.55,0.7690,15.0,0,30,1,0.000000
18,0.18121874,0.20156763,0.00005897,0.4370,0.4524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5928,0.0000,0.0000,0.0000,0.0000,0.0000,44.4709,224,0.65,0.7536,15.0,0,30,1,0.000000
19,0.17545487,0.20268815,0.00005858,0.4419,0.4552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5896,0.0000,0.0000,0.0000,0.0000,0.0000,44.8556,224,0.65,0.7386,15.0,0,30,1,0.000000
