Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.05299199,0.01372506,0.00000240,0.0000,0.0000,26.0000,0.8900,0.2100,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,256,0.25,0.1000,15.0,5,6,4,0.003928
2,0.00993095,0.00777801,0.00000553,0.0000,0.0000,27.5000,0.9100,0.1850,26.0000,0.0000,0.0000,0.0000,0.0000,0.0000,256,0.15,0.1000,15.0,4,6,4,0.000290
3,0.00967520,0.00624771,0.00000553,0.0000,0.0000,29.1000,0.9250,0.1550,21.0000,0.0000,0.0000,0.0000,0.0000,0.0000,256,0.15,0.1000,15.0,3,6,4,0.000231
4,0.01184081,0.00533865,0.00000240,0.0000,0.0000,30.5000,0.9380,0.1320,17.5000,0.0000,0.0000,0.0000,0.0000,0.0000,256,0.15,0.1000,15.0,4,6,24,0.000177
5,0.00459957,0.00393481,0.00000794,0.0000,0.0000,31.8000,0.9480,0.1120,14.2000,0.0000,0.0000,0.0000,0.0000,0.0000,256,0.15,0.1000,15.0,3,6,4,0.000121
6,0.00326556,0.00274224,0.00006000,0.0000,0.0000,32.8000,0.9550,0.0950,11.5000,0.0000,0.0000,0.0000,0.0000,0.0000,256,0.15,0.1000,15.0,2,1,24,0.000048
7,0.00202115,0.00256142,0.00000240,0.0000,0.0000,33.5000,0.9620,0.0820,9.1000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.50,0.1000,15.0,2,2,24,0.000029
8,0.00189280,0.00231861,0.00000240,0.0000,0.0000,34.0000,0.9680,0.0650,7.5000,0.0000,0.0000,0.0000,0.0000,0.0000,384,0.50,0.1000,15.0,2,2,12,0.000031
9,0.00128408,0.00114658,0.00000790,0.0000,0.0000,34.6000,0.9740,0.0520,5.2000,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.50,0.1000,15.0,1,1,24,0.000022
10,0.01900306,0.01258560,0.00000240,0.0000,0.0000,29.1892,0.8959,0.1157,22.2081,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.50,0.1000,15.0,1,1,24,0.000013
11,0.00280781,0.00167184,0.00000240,0.0000,0.0000,35.0000,0.9780,0.0450,3.8000,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.50,0.1000,15.0,1,1,24,0.000018
12,0.00803071,0.00484607,0.00000240,0.0000,0.0000,35.1853,0.9821,0.0351,0.8347,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,1,1,24,0.000015
13,0.00135033,0.00483667,0.00000598,0.0000,0.0000,35.1932,0.9821,0.0350,0.8300,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000015
14,0.00145379,0.00477734,0.00000240,0.0000,0.0000,33.5890,0.9743,0.0429,0.9485,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000005
15,0.00117703,0.00460208,0.00000240,0.0000,0.0000,33.5871,0.9744,0.0427,0.9312,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000014
16,0.00133681,0.00468787,0.00000639,0.0000,0.0000,33.5850,0.9743,0.0426,0.9211,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000013
17,0.00158675,0.00493625,0.00001798,0.0000,0.0000,33.5961,0.9742,0.0429,0.9365,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000013
18,0.00195125,0.00583319,0.00003355,0.0000,0.0000,33.5427,0.9739,0.0448,0.9601,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000013
19,0.00211547,0.00594305,0.00004878,0.0000,0.0000,33.4923,0.9729,0.0431,0.9249,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000014
20,0.00222329,0.00467481,0.00005835,0.0000,0.0000,33.5711,0.9743,0.0427,0.9337,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000018
21,0.00162847,0.00505683,0.00006000,0.0000,0.0000,33.5917,0.9743,0.0428,0.9584,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000018
22,0.00117209,0.00450426,0.00000240,0.0000,0.0000,33.5859,0.9745,0.0425,0.9421,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000018
23,0.00096976,0.00456325,0.00000662,0.0000,0.0000,33.5918,0.9745,0.0424,0.9536,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000017
24,0.00212137,0.00482365,0.00000240,0.0000,0.0000,32.9827,0.9715,0.0396,2.1483,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.5000,15.0,0,1,24,0.000000
25,0.00424920,0.00481125,0.00000240,0.0000,0.0000,32.9850,0.9716,0.0393,2.1470,0.0000,0.0000,0.0000,0.0000,504.9914,512,0.15,1.5000,15.0,0,1,24,0.000017
