Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
1,0.09231949,0.08485789,0.00000240,0.0000,0.0000,19.9884,0.7808,0.3120,56.2053,0.0000,0.0000,0.0000,0.0000,302.4292,256,0.50,0.1000,15.0,0,11,8,0.014836
2,0.07964650,0.06981207,0.00000240,0.0000,0.0000,21.1988,0.7908,0.3060,56.8626,0.0000,0.0000,0.0000,0.0000,314.5142,256,0.50,0.1000,15.0,0,11,8,0.021497
3,0.04833640,0.01961201,0.00000240,0.0000,0.0000,31.5297,0.8894,0.2341,60.5285,0.0000,0.0000,0.0000,0.0000,420.9822,256,0.50,0.1000,15.0,0,2,8,0.010480
4,0.01755033,0.00747758,0.00000791,0.0000,0.0000,37.3620,0.9806,0.1163,34.4144,0.0000,0.0000,0.0000,0.0000,513.7775,256,0.50,0.1000,15.0,0,2,8,0.000385
5,0.01152969,0.00700791,0.00000240,0.0000,0.0000,37.9277,0.9825,0.1046,28.6406,0.0000,0.0000,0.0000,0.0000,525.7535,256,0.50,0.1000,15.0,0,2,8,0.000187
6,0.00913373,0.00578329,0.00000791,0.0000,0.0000,39.6531,0.9872,0.0639,11.8410,0.0000,0.0000,0.0000,0.0000,561.6235,256,0.50,0.1000,15.0,0,2,8,0.000123
7,0.00622931,0.00429911,0.00002233,0.0000,0.0000,41.9222,0.9922,0.0245,6.3370,0.0000,0.0000,0.0000,0.0000,591.5913,256,0.50,0.1000,15.0,0,2,8,0.000036
8,0.00453201,0.00346274,0.00004015,0.0000,0.0000,43.7880,0.9952,0.0126,5.6999,0.0000,0.0000,0.0000,0.0000,611.4842,256,0.50,0.1000,15.0,0,2,8,0.000007
9,0.00368205,0.00281689,0.00005454,0.0000,0.0000,45.3334,0.9969,0.0087,4.6839,0.0000,0.0000,0.0000,0.0000,628.1783,256,0.50,0.1000,15.0,0,2,8,0.000003
10,0.00312339,0.00229225,0.00006000,0.0000,0.0000,46.2245,0.9977,0.0067,4.1151,0.0000,0.0000,0.0000,0.0000,637.7688,256,0.50,0.1000,15.0,0,2,8,0.000002
11,0.00282623,0.00267211,0.00006000,0.0000,0.0000,45.9172,0.9964,0.0059,4.5856,0.0000,0.0000,0.0000,0.0000,634.2067,256,0.50,0.1000,15.0,5,2,8,0.000002
12,0.00242833,0.00169308,0.00003000,0.0000,0.0000,47.4237,0.9986,0.0046,4.7743,0.0000,0.0000,0.0000,0.0000,649.2194,256,0.65,0.1000,15.0,2,1,24,0.000001
13,0.00224644,0.00158136,0.00003000,0.0000,0.0000,48.2528,0.9988,0.0040,3.5036,0.0000,0.0000,0.0000,0.0000,658.8148,256,0.65,0.1000,15.0,1,1,24,0.000001
14,0.00222497,0.00143249,0.00003000,0.0000,0.0000,49.0039,0.9990,0.0036,2.7043,0.0000,0.0000,0.0000,0.0000,667.1504,384,0.50,0.1000,15.0,0,1,24,0.000003
15,0.00321825,0.00131911,0.00000240,0.0000,0.0000,49.1134,0.9991,0.0032,3.3576,0.0000,0.0000,0.0000,0.0000,667.6107,384,0.50,0.1000,15.0,0,1,24,0.000003
16,0.00204922,0.00128412,0.00000383,0.0000,0.0000,49.1762,0.9991,0.0031,3.1318,0.0000,0.0000,0.0000,0.0000,668.4719,384,0.50,0.1000,15.0,0,1,24,0.000003
17,0.00198697,0.00128787,0.00001435,0.0000,0.0000,49.6389,0.9993,0.0029,3.6273,0.0000,0.0000,0.0000,0.0000,672.6166,384,0.50,0.1000,15.0,0,1,24,0.000002
18,0.00252355,0.00161253,0.00003133,0.0000,0.0000,49.1955,0.9994,0.0027,3.2221,0.0000,0.0000,0.0000,0.0000,668.6005,512,0.50,0.1000,15.0,0,1,24,0.000004
19,0.00240614,0.00137336,0.00004825,0.0000,0.0000,50.7787,0.9995,0.0023,3.5163,0.0000,0.0000,0.0000,0.0000,684.1587,512,0.50,0.1000,15.0,0,1,24,0.000004
20,0.00220426,0.00155595,0.00005864,0.0000,0.0000,50.9958,0.9996,0.0029,2.7720,0.0000,0.0000,0.0000,0.0000,687.0523,512,0.50,0.1000,15.0,0,1,24,0.000004
21,0.00212457,0.00142935,0.00006000,0.0000,0.0000,51.5954,0.9997,0.0019,1.8097,0.0000,0.0000,0.0000,0.0000,694.0564,512,0.50,0.1000,15.0,0,1,24,0.000004
22,0.00190310,0.00100722,0.00006000,0.0000,0.0000,51.4511,0.9997,0.0022,3.5543,0.0000,0.0000,0.0000,0.0000,690.8559,640,0.50,0.1000,15.0,0,1,24,0.000006
23,0.00147808,0.00136494,0.00006000,0.0000,0.0000,47.9597,0.9976,0.0040,1.8209,0.0000,0.0000,0.0000,0.0000,657.5161,640,1.00,0.1000,15.0,0,1,24,0.000010
24,0.00142560,0.00135040,0.00006000,0.0000,0.0000,48.2926,0.9976,0.0040,1.8324,0.0000,0.0000,0.0000,0.0000,660.8397,640,1.00,0.1000,15.0,0,1,24,0.000011
